Area,Area_Code,year_2017,year_2018,year_2019,year_2020,year_2021
lacu:Isle of Anglesey,W06000001,16389,16854,17072,17154,18046
lacu:Gwynedd,W06000002,15006,15343,15707,15763,17430
lacu:Conwy,W06000003,16674,17383,17926,17829,18975
lacu:Denbighshire,W06000004,16696,17340,17201,17228,17786
lacu:Flintshire,W06000005,17419,18270,18635,18719,19212
lacu:Wrexham,W06000006,17040,16983,17164,17268,17661
lacu:Powys,W06000023,16984,17644,18303,18361,19113
lacu:Ceredigion,W06000008,15213,15888,16448,16502,17824
lacu:Pembrokeshire,W06000009,16184,16762,17111,17086,18109
lacu:Carmarthenshire,W06000010,15742,16296,16665,16735,17419
lacu:Swansea,W06000011,15169,15715,16197,16670,17772
lacu:Neath Port Talbot,W06000012,15719,15714,16510,16638,17181
lacu:Bridgend,W06000013,15430,16372,16439,16816,17177
lacu:Vale of Glamorgan,W06000014,18876,20028,20640,20689,21923
lacu:Cardiff,W06000015,16115,16831,17110,17491,18536
lacu:Rhondda Cynon Taff,W06000016,14675,15262,15765,15968,16694
lacu:Merthyr Tydfil,W06000024,14687,15146,15145,15304,16043
lacu:Caerphilly,W06000018,15099,15466,16281,16405,17411
lacu:Blaenau Gwent,W06000019,13002,13572,13612,14038,14884
lacu:Torfaen,W06000020,14990,15917,16242,16413,17117
lacu:Monmouthshire,W06000021,20059,20900,22151,21609,22720
lacu:Newport,W06000022,15923,16703,16799,17070,17154
lacu:Aberdeen City,S12000033,20021,20211,20865,20231,20520
lacu:Aberdeenshire,S12000034,20982,21881,22445,21995,22354
lacu:Angus,S12000041,18627,19140,19438,19009,19398
lacu:Argyll and Bute,S12000035,17555,18531,19687,19627,20086
lacu:Clackmannanshire,S12000005,18579,18806,19861,19294,19695
lacu:Dumfries and Galloway,S12000006,17300,17587,18378,18442,19172
lacu:Dundee City,S12000042,14898,15360,16351,16479,16816
lacu:East Ayrshire,S12000008,16309,16408,17077,17042,17429
lacu:East Dunbartonshire,S12000045,22689,23397,23332,22829,23442
lacu:East Lothian,S12000010,20825,21270,22650,22493,23135
lacu:East Renfrewshire,S12000011,22871,23412,22562,22338,23028
lacu:City of Edinburgh,S12000036,21707,22543,23861,23360,24161
lacu:Na h-Eileanan Siar,S12000013,16462,17459,18491,18276,18594
lacu:Falkirk,S12000014,17060,17805,18291,18006,18236
lacu:Fife,S12000047,16986,17270,17756,17851,18299
lacu:Glasgow City,S12000049,15699,15958,16573,16710,17215
lacu:Highland,S12000017,18423,18959,19713,19523,19987
lacu:Inverclyde,S12000018,16536,17122,17965,17737,18127
lacu:Midlothian,S12000019,18422,19090,19116,19434,19880
lacu:Moray,S12000020,16891,17577,18392,18255,18438
lacu:North Ayrshire,S12000021,15803,16544,16945,17060,17332
lacu:North Lanarkshire,S12000050,16261,16645,17084,17096,17403
lacu:Orkney Islands,S12000023,17672,18142,18787,18804,19531
lacu:Perth and Kinross,S12000048,19362,20113,20934,20746,21110
lacu:Renfrewshire,S12000038,17040,17547,18367,18360,18620
lacu:Scottish Borders,S12000026,18739,18968,19942,19975,20649
lacu:Shetland Islands,S12000027,19586,19701,20819,20644,21045
lacu:South Ayrshire,S12000028,18037,18416,18705,18648,19134
lacu:South Lanarkshire,S12000029,17751,18406,19009,19183,19577
lacu:Stirling,S12000030,19564,19893,20517,20077,20561
lacu:West Dunbartonshire,S12000039,15302,16132,16734,16639,16978
lacu:West Lothian,S12000040,17366,17907,18233,18265,18584
lacu:Antrim and Newtownabbey,N09000001,16420,16756,17492,17468,17960
"lacu:Armagh City, Banbridge and Craigavon",N09000002,15589,15900,16473,16453,17216
lacu:Belfast,N09000003,15605,16167,16726,16773,17507
lacu:Causeway Coast and Glens,N09000004,16041,16321,16876,16509,16918
lacu:Derry City and Strabane,N09000005,14382,14603,15378,15610,16572
lacu:Fermanagh and Omagh,N09000006,15158,15410,16193,16252,17132
lacu:Lisburn and Castlereagh,N09000007,18172,18731,19154,18936,19223
lacu:Mid and East Antrim,N09000008,16921,17393,17755,17190,17767
lacu:Mid Ulster,N09000009,15899,16354,17042,16834,17495
"lacu:Newry, Mourne and Down",N09000010,15316,15814,16444,16477,17275
lacu:Ards and North Down,N09000011,17377,17786,18585,18487,19108
itl121:North East (England),TLC,15933,16346,16866,16935,17663
itl121:North West (England),TLD,17164,17746,18371,18418,18864
itl121:Yorkshire and The Humber,TLE,16517,17134,17673,17669,18363
itl121:East Midlands (England),TLF,17187,17729,18345,18394,18956
itl121:West Midlands (England),TLG,16912,17476,17966,17929,18566
itl121:East,TLH,20595,21392,22062,21711,22337
itl121:London,TLI,27572,29015,29809,29202,31094
itl121:South East (England),TLJ,22750,23558,24335,23911,24623
itl121:South West (England),TLK,19343,20101,20920,20579,21221
itl121:Wales,TLL,16018,16624,17037,17200,18038
itl121:Scotland,TLM,18110,18628,19291,19173,19630
itl121:Northern Ireland,TLN,16012,16427,17045,16965,17636
itl221:Tees Valley and Durham,TLC1,15601,16026,16504,16637,17293
"itl221:Northumberland, and Tyne and Wear",TLC2,16208,16610,17165,17179,17969
itl221:Cumbria,TLD1,18650,19081,19679,19568,20079
itl221:Greater Manchester,TLD3,16417,17033,17651,17744,18199
itl221:Lancashire,TLD4,16574,17038,17678,17775,18142
itl221:Cheshire,TLD6,21040,22005,22771,22546,22637
itl221:Merseyside,TLD7,16282,16735,17286,17423,18057
itl221:East Yorkshire and Northern Lincolnshire,TLE1,16121,16782,17309,17420,17878
itl221:North Yorkshire,TLE2,19995,20901,21544,21159,22204
itl221:South Yorkshire,TLE3,15426,15929,16335,16399,17358
itl221:West Yorkshire,TLE4,16099,16665,17251,17298,17803
itl221:Derbyshire and Nottinghamshire,TLF1,16535,17079,17668,17719,18549
"itl221:Leicestershire, Rutland and Northamptonshire",TLF2,17950,18469,19116,19198,19426
itl221:Lincolnshire,TLF3,17240,17824,18441,18406,18955
"itl221:Herefordshire, Worcestershire and Warwickshire",TLG1,20377,21028,21577,21342,21854
itl221:Shropshire and Staffordshire,TLG2,17363,18050,18561,18456,19134
itl221:West Midlands,TLG3,15052,15505,15948,16038,16677
itl221:East Anglia,TLH1,18870,19552,20262,20039,20485
itl221:Bedfordshire and Hertfordshire,TLH2,22752,23547,24165,23624,24280
itl221:Essex,TLH3,20780,21736,22400,22058,22913
itl221:Inner London - West,TLI3,49099,51021,51270,48202,57997
itl221:Inner London - East,TLI4,24863,26199,27244,27016,29474
itl221:Outer London - East and North East,TLI5,21087,22175,22945,22947,23581
itl221:Outer London - South,TLI6,24739,26262,27038,26630,27513
itl221:Outer London - West and North West,TLI7,26288,27672,28396,27953,28272
